id,first_name,last_name,birthdate,gender,department,jobtitle,location,hire_date,termdate,location_city,location_state
06-2497634,Siouxie,Vellender,04-03-74,Male,Human Resources,Senior Recruiter,Headquarters,10/20/2009,,Cleveland,Ohio
06-2574550,Hedwig,Grolle,7/31/2001,Female,Training,Trainer II,Headquarters,11/19/2012,,Cleveland,Ohio
06-2579907,Mara,Coverlyn,10-08-94,Female,Product Management,General Manager,Headquarters,3/27/2006,,Cleveland,Ohio
06-2594353,Harmonie,Sommerling,4/24/1971,Male,Research and Development,Senior Quality Engineer,Headquarters,3/31/2005,,Cleveland,Ohio
06-2594547,Lynelle,Aris,06-03-99,Female,Engineering,Computer Systems Analyst IV,Headquarters,06-09-09,2014-10-13 05:43:17 UTC,Cleveland,Ohio
06-2718524,Obidiah,Lifsey,8/17/1968,Male,Engineering,VP Quality Control,Remote,5/16/2003,,Cleveland,Ohio
06-2736632,Melina,Kubal,04-07-88,Female,Research and Development,Structural Engineer,Headquarters,10/21/2003,,Cleveland,Ohio
06-2779852,Stanford,Adamovsky,1/20/1996,Female,Research and Development,Operator,Remote,3/30/2017,,Rockford,Illinois
06-2895405,Monique,Mayhou,11/21/1996,Female,Human Resources,HR Manager,Headquarters,2/22/2016,,Cleveland,Ohio
06-2898989,Leopold,Terlinden,04-11-75,Male,Engineering,Programmer IV,Headquarters,03-12-05,,Cleveland,Ohio
06-2938498,Base,Ingold,12-11-00,Male,Business Development,Business Analyst,Remote,12/26/2003,,Indianapolis,Indiana
06-2973213,Cyril,Rastall,12-09-99,Female,Engineering,Programmer Analyst IV,Headquarters,7/14/2014,,Cleveland,Ohio
06-2975053,Hermia,Laudham,11-01-81,Female,Sales,Solutions Engineer Manager,Remote,2/23/2013,,Lexington,Kentucky
06-2992140,Elisha,de Amaya,5/28/1998,Female,Business Development,Research Assistant II,Headquarters,11/16/2015,,Cleveland,Ohio
06-3091218,Antoinette,Minico,05-09-92,Male,Engineering,Software Test Engineer IV,Headquarters,02-05-07,,Cleveland,Ohio
06-3187575,Valentin,Dilger,05-08-82,Male,Training,Administrative Assistant I,Headquarters,8/22/2011,,Cleveland,Ohio
06-3218383,Karisa,Freake,9/18/1988,Male,Engineering,Research Assistant II,Headquarters,4/23/2003,,Cleveland,Ohio
06-3239419,Merwin,Soot,12-03-98,Male,Research and Development,Structural Engineer,Remote,6/27/2012,,Flint,Michigan
06-3280590,Lisle,Cadalleder,03-02-69,Female,Services,Service Tech,Remote,12-02-02,2014-03-21 10:24:34 UTC,London,Kentucky
06-3292715,Ivette,Pople,12/30/1987,Male,Engineering,Data Visualization Specialist,Headquarters,04-04-05,,Cleveland,Ohio
06-3370335,Mandie,Gothrup,8/21/1994,Female,Human Resources,HR Manager,Remote,12/29/2010,,Madison,Wisconsin
06-3384685,Jewel,Heisler,4/19/1995,Male,Product Management,Project Manager,Remote,10/29/2017,,South Bend,Indiana
06-3447104,Katinka,Rickaert,2/15/1982,Female,Business Development,Research Assistant I,Headquarters,01-08-04,,Cleveland,Ohio
06-3483438,Jannel,Morey,6/19/1976,Male,Product Management,Project Manager,Headquarters,12/26/2011,2017-09-25 04:54:11 UTC,Cleveland,Ohio
06-3496277,Marvin,Glisane,08-01-96,Male,Engineering,Software Consultant,Headquarters,11-02-13,,Cleveland,Ohio
06-3501483,Archie,MacFarlane,4/28/1993,Male,Research and Development,Operator,Headquarters,5/27/2008,,Cleveland,Ohio
06-3518405,Hester,Matuszkiewicz,01-10-79,Male,Product Management,Product Engineer,Headquarters,12/27/2016,,Cleveland,Ohio
06-3598764,Christie,Chicchelli,01-03-95,Female,Training,Junior Trainer,Headquarters,1/26/2013,2021-09-30 09:07:28 UTC,Cleveland,Ohio
06-3599269,Byrann,Hunnicutt,4/18/1983,Male,Product Management,Project Manager,Headquarters,4/15/2010,,Cleveland,Ohio
06-3717838,Johnathan,Randell,12/22/1988,Non-Conforming,Research and Development,Office Assistant II,Headquarters,01-10-02,2014-01-30 07:01:51 UTC,Cleveland,Ohio
06-3937206,Ludwig,Adnam,1/29/1989,Female,Support,Help Desk Technician,Remote,3/30/2002,,Evansville,Indiana
06-4037131,Shandee,Itzcovich,1/30/1995,Male,Training,Administrative Assistant I,Remote,8/26/2011,,Milwaukee,Wisconsin
06-4132041,Tedi,Cawthra,10/22/1978,Female,Human Resources,Human Resources Analyst II,Headquarters,05-03-05,2008-06-22 21:20:50 UTC,Cleveland,Ohio
06-4157101,Allegra,Vellender,11-05-99,Male,Services,Service Tech,Headquarters,11/27/2004,,Cleveland,Ohio
06-4174896,Vickie,Bellenie,09-02-92,Female,Engineering,Programmer III,Headquarters,8/13/2018,,Cleveland,Ohio
06-4337105,Harmony,Kirlin,5/14/1970,Female,Services,Service Coordinator,Headquarters,09-06-14,2014-12-18 19:29:47 UTC,Cleveland,Ohio
06-4402213,Ofelia,Ferras,8/24/1980,Male,Sales,Solutions Engineer Manager,Remote,7/30/2018,,Cincinnati,Ohio
06-4453808,Laurie,Mapstone,9/27/1990,Male,Support,Desktop Support Technician,Headquarters,11/20/2012,2016-03-08 11:04:07 UTC,Cleveland,Ohio
06-4469168,Lezlie,Edmonds,12-02-81,Male,Legal,Senior Attorney,Headquarters,8/20/2014,,Cleveland,Ohio
06-4504655,Darius,Kalisz,1/24/1981,Female,Training,Trainer II,Headquarters,12/25/2010,2022-03-28 23:56:36 UTC,Cleveland,Ohio
06-4571052,Justis,Rogliero,9/14/2001,Male,Auditing,Internal Auditor,Headquarters,03-10-01,,Cleveland,Ohio
06-4633473,Rufus,Daniell,03-08-89,Male,Human Resources,Compensation Analyst,Headquarters,11-04-14,,Cleveland,Ohio
06-4642279,Julie,McCorry,2/20/2002,Female,Accounting,Staff Accountant I,Headquarters,2/24/2019,,Cleveland,Ohio
06-4654670,Whitaker,Colrein,02-10-87,Female,Engineering,Software Test Engineer II,Headquarters,9/18/2014,2034-09-19 06:09:35 UTC,Cleveland,Ohio
06-4722616,Karel,Pedersen,2/13/1976,Male,Services,Service Manager,Headquarters,3/26/2002,2005-12-24 11:21:15 UTC,Cleveland,Ohio
06-4725506,Brianna,Rouf,4/21/1982,Female,Training,Trainer II,Headquarters,11/18/2014,,Cleveland,Ohio
06-4808125,Judith,Farn,04-04-69,Male,Engineering,Database Administrator II,Remote,2/20/2007,,Harrisburg,Pennsylvania
06-4848706,Ravid,Shory,6/18/1974,Female,Research and Development,Operator,Headquarters,4/26/2008,,Cleveland,Ohio
06-4874575,Patrice,Giller,01-07-82,Female,Training,Junior Trainer,Remote,5/16/2019,2021-03-15 06:05:19 UTC,Harrisburg,Pennsylvania
06-5048807,Judon,Rawlinson,3/13/1995,Male,Auditing,Internal Auditor,Headquarters,1/28/2012,,Cleveland,Ohio
06-5056647,Shayne,Yellowlee,02-01-67,Female,Services,Service Manager,Headquarters,12/14/2013,2017-03-26 06:06:54 UTC,Cleveland,Ohio
06-5117190,Ward,Rieger,5/14/1975,Female,Accounting,Administrative Assistant III,Headquarters,8/30/2006,,Cleveland,Ohio
06-5150347,Tandi,Philipson,08-05-94,Male,Engineering,Data Visualization Specialist,Headquarters,11/27/2010,,Cleveland,Ohio
06-5152929,Sheffield,Durward,1/19/1969,Male,Engineering,Chief Design Engineer,Remote,1/17/2012,,Indianapolis,Indiana
06-5175964,Hermy,Stiling,07-08-93,Female,Human Resources,Human Resources Analyst II,Headquarters,07-11-09,,Cleveland,Ohio
06-5266676,Prentice,Gosse,12/19/1992,Female,Accounting,Budget/Accounting Analyst I,Headquarters,11/30/2006,,Cleveland,Ohio
06-5379630,Ricki,Diggell,2/17/1999,Male,Engineering,Systems Administrator I,Headquarters,07-08-08,,Cleveland,Ohio
06-5381730,Taddeusz,Weldrake,03-10-83,Female,Research and Development,Research Assistant I,Headquarters,10-03-01,2003-05-04 04:03:07 UTC,Cleveland,Ohio
06-5619733,Rosene,Mangan,12-02-69,Female,Services,Service Tech,Headquarters,12/17/2017,2020-07-01 04:38:09 UTC,Cleveland,Ohio
06-5774832,Pryce,Ekless,9/14/1984,Non-Conforming,Marketing,Media Manager I,Headquarters,05-01-13,,Cleveland,Ohio
06-5880047,Curt,Baudic,05-06-71,Female,Engineering,Software Engineer III,Remote,4/29/2017,,Midland,Michigan
06-5904565,Tildie,Fellos,5/14/1969,Female,Engineering,Senior Quality Engineer,Headquarters,01-06-08,,Cleveland,Ohio
06-5905637,Prudi,Garmans,3/20/1972,Male,Engineering,Computer Systems Analyst II,Headquarters,11-11-03,,Cleveland,Ohio
06-5915617,Skelly,Dunnett,7/25/1987,Female,Accounting,Tax Accountant,Headquarters,02-07-01,,Cleveland,Ohio
06-5977037,Blinnie,Abrahams,2/17/1990,Female,Services,Service Coordinator,Remote,3/28/2016,2016-06-21 05:03:51 UTC,Pittsburgh,Pennsylvania
06-5997346,Jodee,Pahl,11/23/1975,Female,Accounting,Structural Engineer,Headquarters,11/21/2016,,Cleveland,Ohio
06-6056910,Sonnnie,Dunican,10/27/1986,Male,Engineering,Data Visualization Specialist,Headquarters,11-03-20,,Cleveland,Ohio
06-6124833,Raymond,Frogley,04-06-00,Female,Services,Service Manager,Headquarters,04-04-15,,Cleveland,Ohio
06-6144334,Zorah,Giggs,6/20/1973,Male,Engineering,Software Consultant,Headquarters,10-07-06,,Cleveland,Ohio
06-6189574,Misty,Angelo,9/25/1998,Female,Accounting,Staff Accountant IV,Headquarters,10/31/2008,2027-06-11 18:45:42 UTC,Cleveland,Ohio
06-6211718,Maryjane,Keaveny,5/15/1999,Female,Marketing,Editor,Headquarters,6/13/2008,2011-03-13 04:14:04 UTC,Cleveland,Ohio
06-6272553,Tait,Secrett,7/20/1974,Male,Human Resources,Human Resources Analyst,Headquarters,03-01-13,,Cleveland,Ohio
06-6287163,Lek,Cardello,07-01-91,Female,Engineering,Systems Administrator I,Remote,8/19/2003,,Lexington,Kentucky
06-6288474,Homerus,Burkin,7/25/1974,Male,Engineering,Electrical Engineer,Headquarters,10/22/2012,,Cleveland,Ohio
06-6304800,Nikki,Shillitto,3/16/1969,Non-Conforming,Training,Assistant Trainer,Headquarters,9/17/2002,,Cleveland,Ohio
06-6327671,Guenevere,Furney,5/24/1993,Male,Business Development,Research Assistant I,Headquarters,2/15/2008,2021-03-12 02:35:47 UTC,Cleveland,Ohio
06-6345157,Charles,Stowell,05-09-76,Female,Services,Service Tech,Headquarters,05-10-02,,Cleveland,Ohio
06-6346824,Gwynne,Wilman,04-12-98,Male,Sales,Account Executive,Headquarters,7/16/2001,,Cleveland,Ohio
06-6408548,Hope,MacCallister,09-11-68,Male,Services,Service Tech III,Headquarters,1/20/2004,,Cleveland,Ohio
06-6434567,Jacenta,Dreakin,4/27/1996,Male,Engineering,Computer Systems Analyst IV,Headquarters,1/28/2004,,Cleveland,Ohio
06-6529743,Ingelbert,Cultcheth,09-11-67,Male,Accounting,Accounting Assistant II,Headquarters,12/19/2011,,Cleveland,Ohio
06-6623847,Leonore,Glanton,11/28/1994,Male,Accounting,Staff Accountant I,Headquarters,5/24/2014,,Cleveland,Ohio
06-6667765,Catriona,Skyrme,05-05-91,Male,Engineering,Software Test Engineer III,Remote,05-09-03,2003-12-18 05:18:36 UTC,Philadelphia,Pennsylvania
06-6682270,Celinka,Duffield,9/26/1981,Female,Services,Service Manager,Headquarters,02-10-17,,Cleveland,Ohio
06-6708573,Marchall,Leverington,4/27/1973,Male,Training,Training Manager,Headquarters,2/28/2018,2021-05-02 14:04:26 UTC,Cleveland,Ohio
06-6875396,Sydney,Scartifield,3/26/1983,Female,Engineering,Quality Control Specialist,Headquarters,07-06-05,2025-01-27 00:01:03 UTC,Cleveland,Ohio
06-6954499,Laina,Itzkovwitch,11-03-88,Female,Engineering,Web Developer I,Headquarters,07-01-13,2013-10-09 21:34:00 UTC,Cleveland,Ohio
06-6966756,Alexandre,Seel,11/24/1982,Male,Training,Administrative Assistant I,Remote,02-05-05,,Cincinnati,Ohio
06-6998710,Jania,Smorfit,10/19/1970,Male,Engineering,Systems Administrator I,Remote,1/26/2006,,Warren,Ohio
06-7127726,Erna,Littlecote,09-12-81,Male,Support,Desktop Support Technician,Headquarters,5/24/2001,,Cleveland,Ohio
06-7145423,Wake,Shippey,5/18/1982,Male,Human Resources,Recruiter,Headquarters,05-03-20,2023-12-08 22:58:23 UTC,Cleveland,Ohio
06-7154108,Minnie,Luckey,11-10-80,Female,Accounting,Staff Accountant I,Headquarters,11/16/2002,,Cleveland,Ohio
06-7167707,Bren,Walklot,9/20/1979,Female,Accounting,Budget/Accounting Analyst I,Headquarters,12-10-14,,Cleveland,Ohio
06-7184744,Freda,Kyngdon,1/21/1979,Female,Accounting,Payment Adjustment Coordinator,Headquarters,8/15/2016,2017-07-28 00:56:30 UTC,Cleveland,Ohio
06-7362110,Adriana,O'Dogherty,4/21/1987,Female,Engineering,Web Developer I,Remote,3/15/2007,,Milwaukee,Wisconsin
06-7368308,Steward,Wotton,4/21/1969,Male,Accounting,Cost Accountant,Headquarters,6/26/2008,,Cleveland,Ohio
06-7384824,Jamie,Amsberger,5/20/2000,Male,Accounting,Administrative Officer,Headquarters,06-07-05,,Cleveland,Ohio
06-7461775,Tobin,Blencowe,06-12-98,Female,Engineering,Web Developer III,Headquarters,06-11-02,,Cleveland,Ohio
06-7503260,Barbaraanne,Keppy,3/24/1987,Female,Human Resources,Human Resources Analyst II,Remote,4/24/2001,,Cleveland,Ohio
06-7507908,Pablo,Maynell,04-11-85,Male,Engineering,Systems Administrator I,Headquarters,5/18/2004,2023-05-23 12:42:37 UTC,Cleveland,Ohio
06-7521460,Sidonia,Skettles,05-08-92,Male,Support,Help Desk Operator,Headquarters,12/27/2011,,Cleveland,Ohio
06-7564297,Lexis,Levins,12/16/1972,Male,Sales,Account Executive,Headquarters,2/24/2004,,Cleveland,Ohio
06-7604069,Libbey,Armor,7/14/2000,Female,Sales,Pre-Sales Consultant,Headquarters,01-03-17,,Cleveland,Ohio
06-7613777,Jacky,Mompesson,07-08-74,Female,Research and Development,Research Associate,Headquarters,12-01-19,,Cleveland,Ohio
06-7630991,Cy,Blakely,06-11-78,Male,Engineering,Systems Administrator II,Headquarters,3/24/2004,,Cleveland,Ohio
06-7692099,Delmor,Mortimer,03-12-79,Male,Engineering,Software Engineer I,Headquarters,3/30/2013,,Cleveland,Ohio
06-7797986,Colene,Gullane,2/24/1999,Female,Services,Service Manager,Remote,12/24/2000,,Dayton,Ohio
06-7800273,Darice,Priddy,3/24/1989,Female,Support,Automation Specialist III,Remote,4/28/2013,,Cincinnati,Ohio
06-7865121,Zedekiah,Andraud,11-09-68,Male,Engineering,Developer III,Headquarters,12/16/2005,2010-04-14 03:15:57 UTC,Cleveland,Ohio
06-7869044,Cherianne,Winkle,3/23/1997,Female,Accounting,Budget/Accounting Analyst IV,Headquarters,01-07-20,,Cleveland,Ohio
06-7893811,Claire,Newman,11/20/1998,Female,Services,Service Tech II,Remote,06-07-11,,Madison,Wisconsin
06-8013655,Larissa,Swadden,10/19/1971,Female,Support,Help Desk Technician,Headquarters,5/18/2005,,Cleveland,Ohio
06-8015929,Eden,Pifford,11/14/1999,Female,Engineering,Data Coordiator,Headquarters,8/17/2006,2014-11-09 05:28:46 UTC,Cleveland,Ohio
06-8030165,Cullen,Ondrak,11-03-74,Male,Engineering,Programmer I,Headquarters,6/21/2010,,Cleveland,Ohio
06-8093620,Gregorio,Humphris,5/21/1977,Female,Engineering,Systems Administrator I,Headquarters,08-08-07,,Cleveland,Ohio
06-8158656,Jeramey,Mordy,4/14/1976,Female,Accounting,Staff Accountant I,Headquarters,7/19/2015,,Cleveland,Ohio
06-8159237,Myer,Wadie,11-03-75,Female,Human Resources,HR Manager,Headquarters,11-04-14,,Cleveland,Ohio
06-8191249,Neila,Dodding,4/29/1987,Male,Engineering,VP Quality Control,Headquarters,7/24/2005,2024-04-10 21:29:37 UTC,Cleveland,Ohio
06-8204915,Liuka,Vercruysse,11/13/1974,Male,Accounting,Accounting Assistant III,Headquarters,08-03-15,,Cleveland,Ohio
06-8259602,Collette,Trainer,11/29/1980,Female,Legal,Librarian,Remote,9/19/2003,,Valley Forge,Pennsylvania
06-8280505,Ian,Odgers,11/18/1996,Male,Human Resources,Human Resources Analyst II,Headquarters,12/20/2004,2016-12-02 09:33:22 UTC,Cleveland,Ohio
06-8333169,Jeni,Northey,07-04-74,Female,Accounting,Tax Accountant,Headquarters,10-06-17,,Cleveland,Ohio
06-8340027,Valentino,Hallyburton,2/23/1993,Male,Training,Training Manager,Headquarters,06-07-11,,Cleveland,Ohio
06-8360738,Analiese,Chatto,1/13/1969,Female,Human Resources,Human Resources Manager,Headquarters,05-05-06,,Cleveland,Ohio
06-8365153,Mahalia,McElmurray,02-07-00,Female,Engineering,Software Engineer I,Headquarters,10/30/2001,,Cleveland,Ohio
06-8384472,Lani,Kinnoch,12/31/1977,Male,Accounting,Cost Accountant,Headquarters,10/16/2006,2022-01-21 02:00:52 UTC,Cleveland,Ohio
06-8438648,Henry,Clarkin,6/19/1988,Male,Services,Research Associate,Headquarters,9/28/2010,,Cleveland,Ohio
06-8514106,Chiarra,Lee,08-07-94,Male,Engineering,Data Coordiator,Remote,6/14/2009,,Detroit,Michigan
06-8535094,Kristina,Kruse,09-08-02,Female,Business Development,Business Analyst,Headquarters,11/23/2018,,Cleveland,Ohio
06-8541473,Broderic,Dronsfield,03-03-81,Female,Human Resources,HR Manager,Headquarters,03-12-17,2038-01-11 18:10:35 UTC,Cleveland,Ohio
06-8678587,Warden,Benley,9/16/1969,Male,Legal,Senior Attorney,Headquarters,3/29/2003,,Cleveland,Ohio
06-8686317,Pamela,Dundredge,3/30/1972,Female,Human Resources,Senior Recruiter,Headquarters,3/28/2014,,Cleveland,Ohio
06-8739365,Dewey,Rizzone,07-11-88,Female,Human Resources,Human Resources Analyst II,Headquarters,10-06-02,,Cleveland,Ohio
06-8752052,Birgit,Bachshell,12/22/1974,Male,Business Development,Research Assistant II,Headquarters,08-08-06,,Cleveland,Ohio
06-8774886,Rey,Hindsberg,11/22/1967,Female,Engineering,Chief Design Engineer,Headquarters,06-11-03,2017-06-27 12:38:39 UTC,Cleveland,Ohio
06-8855050,George,Ruthen,08-12-01,Female,Services,Service Tech II,Remote,9/16/2012,,Saginaw,Michigan
06-8882366,Lorens,Henningham,12-08-85,Female,Services,Service Coordinator,Remote,10-06-04,2015-01-16 14:22:05 UTC,Indianapolis,Indiana
06-8891563,Ulick,Tunkin,7/20/1995,Female,Human Resources,Recruiter,Headquarters,4/30/2013,,Cleveland,Ohio
06-8958396,Nikolai,Clunie,04-01-70,Female,Engineering,Web Developer III,Remote,04-04-06,,Toledo,Ohio
06-9028526,Tabatha,Ruddy,08-05-00,Male,Accounting,Accounting Assistant IV,Headquarters,7/26/2019,,Cleveland,Ohio
06-9140329,Niki,Brakewell,5/24/1990,Male,Accounting,Senior Cost Accountant,Headquarters,08-11-04,,Cleveland,Ohio
06-9146251,Obadias,Pietz,12-09-78,Male,Human Resources,Recruiter,Headquarters,2/27/2015,,Cleveland,Ohio
06-9170406,Molly,Apdell,6/17/1974,Female,Human Resources,Human Resources Analyst II,Headquarters,8/15/2018,,Cleveland,Ohio
06-9287148,Flori,Tatem,9/17/1984,Male,Accounting,Senior Financial Analyst,Headquarters,12-06-04,,Cleveland,Ohio
06-9444188,Rosemaria,Nancarrow,04-06-73,Male,Engineering,Software Consultant,Remote,9/27/2015,,Rockford,Illinois
06-9483858,Arnaldo,Thunder,1/16/1997,Female,Support,Help Desk Technician,Headquarters,06-11-16,2030-08-03 23:42:28 UTC,Cleveland,Ohio
06-9498321,Kerry,Coogan,04-12-94,Female,Engineering,Database Administrator IV,Headquarters,1/30/2012,,Cleveland,Ohio
06-9573037,Alissa,Brock,09-02-96,Male,Business Development,Research Assistant III,Remote,06-02-07,2008-11-01 17:24:12 UTC,Fort Wayne,Indiana
06-9574214,Bert,Cypler,7/22/1991,Male,Services,Service Tech III,Headquarters,7/14/2020,,Cleveland,Ohio
06-9581662,Lorne,FitzAlan,2/20/1979,Male,Research and Development,Quality Control Specialist,Headquarters,9/22/2007,,Cleveland,Ohio
06-9643118,Powell,Skunes,08-06-77,Female,Legal,Paralegal,Headquarters,12/30/2008,2016-01-15 22:59:41 UTC,Cleveland,Ohio
06-9691220,Shannah,Bamfield,12-06-79,Female,Services,Service Tech III,Headquarters,12/14/2013,,Cleveland,Ohio
06-9706227,Margaux,Norquay,12/24/1977,Male,Engineering,Software Engineer IV,Headquarters,1/25/2016,,Cleveland,Ohio
06-9718744,Gnni,Filipovic,2/13/1998,Female,Business Development,Research Assistant I,Headquarters,6/28/2012,,Cleveland,Ohio
06-9739832,Debby,Brody,12-07-67,Male,Support,Desktop Support Technician,Headquarters,12/15/2005,2018-01-31 20:03:06 UTC,Cleveland,Ohio
06-9813859,Marleah,Marler,06-11-66,Male,Engineering,Analyst Programmer,Remote,2/23/2012,,Dayton,Ohio
06-9828888,Ellyn,Byfford,11/14/1971,Female,Engineering,Senior Developer,Remote,08-11-06,,Flint,Michigan
06-9931910,Celene,Rene,07-07-90,Male,Product Management,Project Manager,Headquarters,6/28/2007,2009-03-28 02:43:27 UTC,Cleveland,Ohio
06-9948352,Alistair,Pirelli,11/20/1967,Male,Services,Service Tech III,Remote,2/21/2012,2019-09-21 05:23:48 UTC,Rockford,Illinois
06-9955942,Naoma,Barney,3/26/1969,Male,Engineering,Software Test Engineer I,Remote,10-07-13,,Allentown,Pennsylvania
06-9979233,Artair,Stobbie,3/13/1988,Female,Training,Trainer II,Headquarters,6/17/2002,,Cleveland,Ohio
07-0025057,Fayina,Bruster,08-07-84,Female,Engineering,Programmer III,Remote,01-09-09,,Pittsburgh,Pennsylvania
07-0127109,Sammie,Kiehne,04-10-92,Male,Engineering,Systems Administrator I,Headquarters,10/30/2010,,Cleveland,Ohio
07-0173932,Samuel,Starte,1/29/2001,Female,Research and Development,Research Assistant I,Headquarters,6/28/2010,2028-09-25 19:18:15 UTC,Cleveland,Ohio
07-0177926,Delinda,Ausello,1/21/1983,Male,Support,Support Staff III,Headquarters,5/31/2008,,Cleveland,Ohio
07-0499720,Sapphire,Berwick,05-09-81,Male,Human Resources,Human Resources Analyst,Remote,09-02-13,,Chicago,Illinois
07-0516733,Stephi,Humber,4/14/1973,Female,Support,Desktop Support Technician,Headquarters,9/30/2001,,Cleveland,Ohio
07-0603198,Osgood,Mews,09-03-89,Male,Business Development,Business Analyst,Headquarters,11/19/2019,,Cleveland,Ohio
07-0603203,Natka,Moyer,11/13/1985,Female,Accounting,Cost Accountant,Remote,4/14/2010,2023-05-11 03:06:27 UTC,Southfield,Michigan
07-0617964,Nealy,Bestwerthick,10/22/1985,Male,Accounting,Cost Accountant,Headquarters,1/26/2017,,Cleveland,Ohio
07-0676296,Cosmo,Duce,4/21/1986,Female,Services,Service Tech II,Remote,6/26/2007,,Dayton,Ohio
07-0699705,Donnie,Havenhand,10/15/1983,Male,Business Development,Research Assistant II,Headquarters,03-07-10,,Cleveland,Ohio
07-0712483,Salli,Bordiss,3/16/2001,Female,Business Development,Research Assistant II,Headquarters,12/15/2009,,Cleveland,Ohio
07-0725783,Shem,Scates,9/30/1989,Female,Sales,Customer Success Manager,Headquarters,6/26/2001,,Cleveland,Ohio
07-0750862,Theda,Writtle,01-03-98,Female,Training,Senior Trainer,Headquarters,11/19/2011,,Cleveland,Ohio
07-0758416,Mervin,Noice,9/14/1980,Female,Engineering,Business Analyst,Headquarters,1/19/2003,,Cleveland,Ohio
07-0760682,Jervis,Boulsher,05-01-74,Female,Accounting,Staff Accountant I,Headquarters,3/27/2010,,Cleveland,Ohio
07-0777821,Donica,Locks,07-11-00,Female,Engineering,Data Visualization Specialist,Remote,11/30/2008,,Pittsburgh,Pennsylvania
07-0787402,Jarad,Hawney,9/27/1983,Male,Sales,Solutions Engineer Manager,Remote,11/19/2017,,Racine,Wisconsin
07-0828662,Iago,Kisby,9/27/1969,Male,Business Development,Research Assistant I,Headquarters,8/19/2015,,Cleveland,Ohio
07-0864122,Crysta,Dowda,08-08-88,Male,Accounting,Tax Accountant,Headquarters,03-12-20,,Cleveland,Ohio
07-0981205,Bondie,Bonnette,06-03-99,Female,Sales,Account Manager,Headquarters,5/22/2013,,Cleveland,Ohio
07-0988908,Berke,Harlow,05-07-83,Male,Human Resources,Human Resources Analyst II,Headquarters,11/16/2016,,Cleveland,Ohio
07-1018029,Amalee,Crawshaw,5/18/1985,Female,Engineering,Design Engineer,Headquarters,05-07-03,,Cleveland,Ohio
07-1051476,Lem,Michell,8/27/1980,Female,Engineering,Computer Systems Analyst III,Headquarters,5/14/2008,,Cleveland,Ohio
07-1094450,Klara,Dassindale,12/13/1971,Female,Engineering,Software Engineer I,Headquarters,04-05-13,,Cleveland,Ohio
07-1171302,Sybille,Ettritch,4/14/1982,Male,Training,Training Manager,Headquarters,7/30/2002,,Cleveland,Ohio
07-1173657,Rex,Cheesman,12-05-74,Male,Accounting,Accounting Assistant III,Headquarters,2/21/2012,,Cleveland,Ohio
07-1216320,Vitia,Dockrell,4/14/1972,Male,Accounting,Staff Accountant I,Headquarters,11-11-17,,Cleveland,Ohio
07-1239125,Denny,Greason,3/26/1985,Male,Engineering,Data Visualization Specialist,Remote,3/18/2014,,Muncie,Indiana
07-1320417,Vally,Mum,05-06-69,Male,Training,Assistant Trainer,Headquarters,4/20/2007,,Cleveland,Ohio
07-1372584,Donnie,Ruttgers,5/15/1990,Male,Research and Development,Research Assistant I,Headquarters,4/27/2010,,Cleveland,Ohio
07-1403403,Elsbeth,Stapley,8/27/1983,Male,Human Resources,Human Resources Analyst,Headquarters,06-07-03,,Cleveland,Ohio
07-1480478,Gabriela,Grouer,04-04-02,Non-Conforming,Accounting,Staff Accountant II,Remote,10-04-15,,Naperville,Illinois
07-1541608,Dana,Calabry,10/17/1996,Male,Sales,Account Executive,Headquarters,8/27/2009,2018-11-26 23:05:50 UTC,Cleveland,Ohio
07-1559052,Nance,Brinded,12/28/1979,Male,Accounting,Budget/Accounting Analyst III,Remote,02-09-09,,Philadelphia,Pennsylvania
07-1561782,Dick,Fullard,11/30/1969,Female,Legal,Paralegal,Headquarters,11/30/2008,,Cleveland,Ohio
07-1632962,Rubetta,Dupree,5/25/2001,Male,Human Resources,Recruiter,Headquarters,3/31/2010,,Cleveland,Ohio
07-1649451,Emera,Kemball,04-05-93,Female,Engineering,Software Test Engineer II,Headquarters,11/28/2018,,Cleveland,Ohio
07-1656989,Maiga,Sier,10/14/1977,Female,Accounting,Accounting Assistant II,Headquarters,11/24/2010,,Cleveland,Ohio
07-1732515,Miltie,Scothron,08-04-70,Male,Engineering,Database Administrator I,Headquarters,08-02-08,,Cleveland,Ohio
07-1755738,Martynne,Stolte,5/18/1984,Male,Accounting,Budget/Accounting Analyst II,Headquarters,11/26/2013,,Cleveland,Ohio
07-1778522,Quint,Jankin,8/31/1982,Female,Accounting,Budget/Accounting Analyst I,Headquarters,4/30/2016,2017-02-22 00:38:26 UTC,Cleveland,Ohio
07-1810225,Ketti,Callcott,9/23/1999,Female,Business Development,Research Assistant I,Headquarters,07-03-05,2007-11-07 20:29:17 UTC,Cleveland,Ohio
07-1862203,Gustavo,Fishleigh,08-05-80,Male,Sales,Relationshiop Manager,Headquarters,10/17/2005,,Cleveland,Ohio
07-1894645,Lettie,Jancar,1/16/1980,Female,Engineering,Database Administrator II,Remote,9/18/2007,,Cincinnati,Ohio
07-1975632,Hannie,Moncrefe,1/14/1998,Female,Sales,Solutions Engineer Manager,Headquarters,7/14/2016,,Cleveland,Ohio
07-2133009,Stepha,Newburn,12-08-88,Male,Services,Service Coordinator,Headquarters,4/23/2011,,Cleveland,Ohio
